InvalidScalar,0x0101
InvalidPoint,0x0102
DuplicateRingMember,0x0103
PresigVerificationFailed,0x0104
TauExtractionFailed,0x0105
EnvelopeDecryptionFailed,0x0106
EnvelopeTampered,0x0107
UnknownEventTopic,0x0201
TruncatedEventData,0x0202
RpcError,0x0203
ReorgDetected,0x0204
InvalidStateTransition,0x0301
DeadlineExceeded,0x0302
CheckpointCorrupted,0x0303
SwapNotFound,0x0304
NullPointer,0x0401
InvalidLength,0x0402
BufferTooSmall,0x0403
UnsupportedVersion,0x0404
InternalPanic,0x04FF
AdapterCallFailed,0x0501
AdapterTimeout,0x0502
NetworkUnreachable,0x0503
